DATA FILE:	<Untitled>
AUTO PROG:	<Untitled>
LOT ID:   	0
WAFER ID: 	0
Units:	SCI
ScID:	0
Sclen:	10000
Stitch:	NO
#Stchs:	1
Speed:	High
Mrange:	655KA
Prof:	H & V
Drnge-:	0
Drnge+:	0
Rcur:	    50.00
Rwidth:	  139.66
Mcur:	    50.00
Mwidth:	    6.28
RVTI:	-102
MVTI:	-102
Disp:	Raw 
Smthed:	NO
Wavfed:	NO
Ruffed:	NO
Smdeg:	1
Smband:	0
HPF:	0.00   
LPF:	0.00   
BP:	NO
Date:	07/08/20 11:51:35
Calib:	NO
VSF:	1.00E+000     
VCF:	1.00E+000     
Levpt:	0.00E+000     
Levslp:	0.00E+000     
Zeropt:	0.00E+000     
Horzpt:	0.00E+000     
NumPts:	400
Hsf:	2.51E+001     
SCALED DATA:
        0	      -39	     -103	     -181	     -271	
     -371	     -492	     -629	     -778	     -922	
    -1063	    -1203	    -1333	    -1470	    -1605	
    -1744	    -1877	    -2004	    -2146	    -2281	
    -2422	    -2556	    -2691	    -2806	    -2937	
    -3074	    -3200	    -3338	    -3478	    -3618	
    -3765	    -3914	    -4037	    -4154	    -4267	
    -4387	    -4517	    -4631	    -4755	    -4877	
    -5024	    -5164	    -5303	    -5443	    -5583	
    -5730	    -5882	    -6007	    -6134	    -6270	
    -6399	    -6522	    -6659	    -6795	    -6930	
    -7059	    -7192	    -7316	    -7450	    -7582	
    -7709	    -7835	    -7967	    -8104	    -8240	
    -8385	    -8514	    -8650	    -8785	    -8525	
     8415	    46363	    79291	    97919	   105989	
   108675	   109175	   109062	   108847	   108632	
   108465	   108279	   108250	   108235	   108133	
   107993	   107734	   107535	   107357	   107228	
   107120	   107070	   106999	   106938	   106767	
   106615	   106488	   106278	   105977	   105755	
   105756	   105647	   105615	   105777	   105713	
   105666	   105673	   105573	   105404	   105146	
   104926	   104754	   104598	   104433	   104330	
   104267	   104172	   104069	   103984	   103860	
   103653	   103414	   103187	   102987	   102619	
   102524	   102589	   102530	   102377	   102200	
   101990	   101829	   101774	   101661	   101493	
   101334	   101195	   101124	   100988	   100974	
   100987	   100862	   100656	   100559	   100468	
   100361	   100268	    99984	    99615	    99375	
    99222	    99270	    99553	    99257	    99362	
    99704	   100047	   100401	   100132	    99565	
    98874	    98189	    97769	    97577	    97271	
    96978	    96942	    96821	    96724	    96610	
    96667	    96707	    96583	    96390	    96235	
    96095	    95965	    95780	    95610	    95541	
    95469	    95320	    95157	    95051	    94938	
    94853	    94887	    94893	    94855	    94758	
    94566	    94254	    94070	    94043	    93909	
    93564	    93290	    93123	    93020	    92957	
    92728	    92580	    92525	    92484	    92404	
    92290	    92148	    91941	    91736	    91613	
    91462	    91344	    91196	    91079	    91003	
    90972	    90992	    91099	    91093	    90803	
    90447	    90154	    90003	    89845	    89705	
    89510	    89277	    88986	    88762	    88664	
    88546	    88364	    88279	    88420	    88654	
    88695	    88494	    88150	    87885	    87695	
    87475	    87254	    87050	    86882	    86779	
    86684	    86491	    86261	    86111	    86000	
    85871	    85794	    85817	    85748	    85550	
    85301	    85118	    85063	    85046	    85015	
    84929	    84756	    84540	    84352	    84183	
    83936	    83707	    83599	    83540	    83430	
    83262	    83068	    82879	    82706	    82535	
    82401	    82333	    82233	    82132	    82032	
    81942	    81806	    81643	    81501	    81393	
    81217	    80957	    80684	    80475	    80353	
    80264	    80166	    80135	    80094	    80047	
    79949	    79799	    79647	    79466	    79253	
    79099	    79012	    78939	    78861	    78717	
    78537	    78365	    78208	    78053	    77914	
    77782	    77668	    77544	    77383	    77123	
    76866	    76617	    76417	    76280	    76180	
    76081	    75972	    75849	    75750	    75625	
    75480	    75343	    75215	    75063	    74944	
    74868	    74798	    74688	    74558	    74423	
    74295	    74169	    74070	    73922	    73752	
    73581	    73410	    73286	    73228	    73162	
    73089	    72953	    72717	    72419	    72206	
    72053	    71911	    71755	    71569	    71396	
    71291	    71227	    71148	    71055	    70966	
    70877	    70774	    70672	    70559	    70418	
    70267	    70132	    69975	    69809	    69640	
    69490	    69428	    69414	    69316	    69033	
    68730	    68535	    68420	    68301	    68188	
    68093	    68012	    67962	    67919	    67813	
    67666	    67500	    67343	    67172	    66971	
    66789	    66623	    66451	    66244	    66018	
    65844	    65746	    65621	    65520	    65418	

DEKTAK 3:	Version 3.21
